Date,Rot,VH,Team,1st,2nd,3rd,Final,Open,Close
1012,60,H,Washington ,0,0,1,1,-135,-120
1012,61,V,Buffalo ,0,0,1,1,5.5u20,5.5u30
1012,62,H,Chicago ,1,1,0,2,-230,-265
1012,63,V,NY Rangers ,1,1,1,3,5o30,5o35
1012,64,H,St. Louis ,1,3,1,5,-193,-240
1012,65,V,NY Islanders ,0,2,0,2,5o30,5o40
1012,66,H,Nashville ,0,2,1,3,-115,-120
1012,67,V,Dallas ,0,1,0,1,5o30,5o45
1012,68,H,Minnesota ,2,2,1,5,-145,-170
1012,69,V,Montreal ,1,1,2,4,5.5u20,5.5u40
1012,70,H,Vancouver ,0,1,0,1,-135,-135
1012,71,V,Ottawa ,2,0,0,2,5.5u20,5.5u35
1012,72,H,San Jose ,1,1,1,3,-170,-205
1013,1,V,Phoenix ,1,2,2,5,5o30,5.5u30
1013,2,H,Carolina ,1,2,0,3,-120,-120
1013,3,V,Los Angeles ,0,2,1,3,-140,-140
1013,4,H,Florida ,0,0,0,0,5.5u30,5.5u40
1013,5,V,New Jersey ,0,0,0,0,5.5u25,5.5u35
1013,6,H,Winnipeg ,0,1,2,3,-140,-115
1013,7,V,Ottawa ,1,0,0,1,5.5u25,5.5u50
1013,8,H,Anaheim ,2,2,0,4,-150,-145
1014,51,V,Detroit ,1,2,0,3,5o25,5u15
1014,52,H,Boston ,1,0,1,2,-150,-160
1014,53,V,Edmonton ,1,0,1,2,5.5o20,6
1014,54,H,Washington ,1,3,0,4,-160,-160
1014,55,V,Minnesota ,1,1,0,2,-130,-155
1014,56,H,Buffalo ,0,1,0,1,5o20,5o20
1015,1,V,Buffalo ,0,2,1,4,5o20,5o30
1015,2,H,NY Islanders ,1,1,1,3,-185,-210
1015,3,V,Minnesota ,1,0,0,1,5.5o15,5.5u20
1015,4,H,Toronto ,2,1,1,4,-150,-145
1015,5,V,Vancouver ,1,0,2,3,-104,-119
1015,6,H,Philadelphia ,1,1,0,2,5o30,5o50
1015,7,V,Edmonton ,0,2,0,2,6,6o15
1015,8,H,Pittsburgh ,1,1,1,3,-230,-255
1015,9,V,Chicago ,2,0,0,3,-160,-155
1015,10,H,Carolina ,0,0,2,2,5.5u30,5.5u30
1015,11,V,Columbus ,0,1,0,1,5.5u20,5.5u50
1015,12,H,Detroit ,1,1,0,2,-133,-120
1015,13,V,Los Angeles ,0,0,1,1,-120,5.5u30
1015,14,H,Tampa Bay ,2,1,2,5,5.5u15,-115
1015,15,V,San Jose ,2,2,2,6,5.5u35,5.5u50
1015,16,H,St. Louis ,0,0,2,2,-130,-130
1015,17,V,Florida ,0,2,1,3,5o35,5o45
1015,18,H,Nashville ,1,1,2,4,-160,-165
1015,19,V,Montreal ,2,0,1,3,-120,-130
1015,20,H,Winnipeg ,0,0,0,0,5.5u20,5.5u20
1015,21,V,Dallas ,1,1,0,2,5.5u20,5.5u13
1015,22,H,Colorado ,2,1,0,3,-180,-175
1015,23,V,Ottawa ,0,1,2,4,5o35,5o42
1015,24,H,Phoenix ,0,2,1,3,-140,-140
1016,51,V,NY Rangers ,0,2,0,2,5.5u15,5.5u40
1016,52,H,Washington ,0,0,0,0,-150,-150
1016,53,V,Calgary ,1,0,1,2,5.5o20,5.5o25
1016,54,H,Anaheim ,2,1,0,3,-190,-200
1017,1,V,Carolina ,0,0,3,3,5.5o30,5.5u20
1017,2,H,Toronto ,0,2,0,2,-170,-150
1017,3,V,Vancouver ,1,1,1,3,-140,-140
1017,4,H,Buffalo ,0,0,0,0,5o40,5o20
1017,5,V,Edmonton ,2,0,0,2,6u20,6u20
1017,6,H,NY Islanders ,1,2,0,3,-160,-155
1017,7,V,Pittsburgh ,0,2,2,4,-160,-155
1017,8,H,Philadelphia ,0,1,0,1,5.5o25,5.5u15
1017,9,V,Columbus ,0,2,1,3,5o25,5o30
1017,10,H,Montreal ,2,1,2,5,-160,-160
1017,11,V,New Jersey ,0,0,2,2,5o35,5o20
1017,12,H,Ottawa ,2,1,2,5,-160,-150
1017,13,V,Minnesota ,0,0,1,1,5.5o15,5o40
1017,14,H,Tampa Bay ,1,0,2,3,-120,-120
1017,15,V,Boston ,2,0,1,3,-180,-180
1017,16,H,Florida ,0,1,1,2,5o30,5o40
1017,17,V,St. Louis ,1,1,0,3,5.5u15,5.5u28
1017,18,H,Chicago ,1,1,0,2,-150,-140
1017,19,V,Los Angeles ,1,0,0,2,-120,-115
1017,20,H,Nashville ,1,0,0,1,5o15,5
1017,21,V,San Jose ,2,1,0,3,-160,-175
1017,22,H,Dallas ,1,2,0,4,5.5u15,5.5u26
1017,23,V,Detroit ,2,0,2,4,5.5u45,5.5u35
1017,24,H,Colorado ,0,2,0,2,-140,-140
1018,51,V,St. Louis ,2,0,1,3,-119,-120
1018,52,H,Winnipeg ,1,0,2,4,5.5u19,5.5u30
1018,53,V,Phoenix ,0,1,1,2,5.5u18,5.5u40
1018,54,H,Anaheim ,1,0,1,3,-145,-140
1019,1,V,Vancouver ,1,1,1,3,5.5o15,5.5u15
1019,2,H,Pittsburgh ,1,1,1,4,-163,-165
1019,3,V,Edmonton ,2,0,1,3,5.5o15,5.5
1019,4,H,Ottawa ,0,0,1,1,-175,-180
1019,5,V,Colorado ,2,2,0,4,-165,-140
1019,6,H,Buffalo ,0,1,1,2,5u09,5o40
1019,7,V,Nashville ,1,0,1,2,5o20,5o30
1019,8,H,Montreal ,0,1,0,1,-177,-165
1019,9,V,Boston ,1,3,1,5,-108,-115
1019,10,H,Tampa Bay ,0,0,0,0,5.5u20,5o45
1019,11,V,Minnesota ,0,1,0,1,-133,-140
1019,12,H,Florida ,0,0,1,2,5o15,5o20
1019,13,V,NY Rangers ,0,0,0,0,5.5u15,5u25
1019,14,H,New Jersey ,2,2,0,4,-115,-115
1019,15,V,Carolina ,0,3,1,4,5.5u15,5.5u15
1019,16,H,NY Islanders ,0,1,2,3,-132,-140
1019,17,V,Columbus ,0,0,1,1,5.5u15,5.5u25
1019,18,H,Washington ,0,2,2,4,-135,-130
1019,19,V,Toronto ,0,1,0,1,5o35,5.5u15
1019,20,H,Chicago ,0,3,0,3,-170,-180
1019,21,V,Detroit ,2,0,0,2,5.5u15,-120
1019,22,H,Phoenix ,0,1,4,5,-110,5.5u45
1019,23,V,Calgary ,0,1,2,3,5.5o20,5.5o35
1019,24,H,San Jose ,2,2,2,6,-263,-285
1019,25,V,Dallas ,1,1,0,2,5o15,5o20
1019,26,H,Los Angeles ,2,0,3,5,-175,-180
1020,51,V,Vancouver ,0,1,0,1,5.5u30,-125
1020,52,H,Columbus ,1,0,2,3,-120,5.5u30
1020,53,V,Nashville ,0,3,0,3,5.5u30,5.5u50
1020,54,H,Winnipeg ,0,0,1,1,-150,-160
1020,55,V,Dallas ,3,0,0,3,5.5u19,5.5u25
1020,56,H,Anaheim ,1,3,2,6,-194,-220
1021,1,V,San Jose ,0,0,0,1,-115,-125
1021,2,H,Detroit ,0,0,0,0,5.5,5.5u40
1021,3,V,Colorado ,0,1,0,1,5.5o20,5.5
1021,4,H,Pittsburgh ,0,0,0,0,-165,-165
1021,5,V,Calgary ,0,2,1,3,5.5u30,5.5u30
1021,6,H,Los Angeles ,1,1,0,2,-220,-260
1022,51,V,Anaheim ,1,1,0,2,-104,-105
1022,52,H,Toronto ,0,3,1,4,5.5o04,5.5
1022,53,V,Vancouver ,2,2,0,5,-104,-120
1022,54,H,NY Islanders ,2,1,1,4,5.5u25,5.5u35
1022,55,V,New Jersey ,0,1,0,1,5o15,5u25
1022,56,H,Columbus ,0,2,2,4,-133,-145
1022,57,V,Edmonton ,0,2,2,4,5.5u07,5.5u25
1022,58,H,Montreal ,2,0,1,3,-200,-210
1022,59,V,Chicago ,0,2,0,3,-190,-180
1022,60,H,Florida ,0,0,2,2,5.5u25,5.5u55
1022,61,V,Nashville ,0,0,0,0,5o09,5u20
1022,62,H,Minnesota ,0,1,1,2,-145,-162
1022,63,V,Washington ,0,3,1,5,5.5o04,-111
1022,64,H,Winnipeg ,0,3,1,4,-114,5.5u15
1022,65,V,Calgary ,0,1,1,2,5.5u15,5.5u20
1022,66,H,Phoenix ,1,1,2,4,-190,-220
1023,1,V,Ottawa ,3,1,2,6,5.5u20,5.5u50
1023,2,H,Detroit ,1,0,0,1,-150,-140
1023,3,V,Boston ,1,2,2,5,-175,-170
1023,4,H,Buffalo ,0,2,0,2,5o20,5o20
1024,51,V,San Jose ,0,0,1,1,5o25,5
1024,52,H,Boston ,0,1,1,2,-115,-105
1024,53,V,Vancouver ,1,1,0,3,-115,-115
1024,54,H,New Jersey ,2,0,0,2,5o15,5u20
1024,55,V,NY Rangers ,1,0,0,1,5.5u20,5.5u45
1024,56,H,Philadelphia ,1,0,1,2,-143,-150
1024,57,V,Anaheim ,0,0,1,1,5.5u15,5.5o15
1024,58,H,Montreal ,2,1,1,4,-125,-125
1024,59,V,Chicago ,0,3,2,5,-125,-133
1024,60,H,Tampa Bay ,1,2,2,6,5.5u25,5.5u20
1024,61,V,Winnipeg ,0,1,1,2,5o20,5o45
1024,62,H,Nashville ,1,0,1,3,-125,-135
1024,63,V,Carolina ,0,1,0,1,5o20,5o15
1024,64,H,Minnesota ,2,0,1,3,-159,-145
1024,65,V,Calgary ,0,1,0,1,5.5o10,5.5o15
1024,66,H,Dallas ,1,3,1,5,-170,-155
1024,67,V,Washington ,1,1,2,4,-104,-125
1024,68,H,Edmonton ,0,0,1,1,5.5o25,5.5o20
1024,69,V,Phoenix ,0,2,2,4,5o30,5u15
1024,70,H,Los Angeles ,4,0,3,7,-149,-160
1025,1,V,NY Islanders ,1,0,3,4,5.5u09,6
1025,2,H,Pittsburgh ,1,1,1,3,-180,-215
1025,3,V,Toronto ,0,1,1,2,5.5u21,5.5u40
1025,4,H,Columbus ,1,0,4,5,-123,-130
1025,5,V,Anaheim ,2,0,0,2,5.5u10,5.5u15
1025,6,H,Ottawa ,0,1,0,1,-115,-155
1025,7,V,Buffalo ,0,1,2,3,5o20,5o35
1025,8,H,Florida ,1,0,0,1,-138,-140
1025,9,V,Vancouver ,1,1,0,3,5.5u26,5o35
1025,10,H,St. Louis ,0,1,1,2,-160,-200
1025,11,V,Carolina ,0,1,1,2,5.5u31,5.5o15
1025,12,H,Colorado ,2,1,1,4,-173,-215
1026,51,V,Edmonton ,1,2,1,4,5.5u05,5.5
1026,52,H,Phoenix ,0,3,2,5,-155,-180
1026,53,V,New Jersey ,1,1,2,4,5u15,5u20
1026,54,H,Boston ,3,0,0,3,-207,-215
1026,55,V,San Jose ,0,1,1,2,-122,-125
1026,56,H,Montreal ,0,0,0,0,5.5u16,5o40
1026,57,V,NY Rangers ,0,1,1,3,5o20,5o25
1026,58,H,Detroit ,1,1,0,2,-220,-200
1026,59,V,Buffalo ,0,1,1,2,5.5u26,5.5u25
1026,60,H,Tampa Bay ,1,0,2,3,-217,-230
1026,61,V,Philadelphia ,3,0,2,5,5.5u16,5.5u20
1026,62,H,NY Islanders ,1,1,0,2,-148,-115
1026,63,V,Pittsburgh ,1,0,0,1,-120,-140
1026,64,H,Toronto ,1,0,3,4,5.5o20,5.5o20
1026,65,V,Winnipeg ,0,1,0,2,5.5u05,5.5o15
1026,66,H,Dallas ,0,0,1,1,-129,-135
1026,67,V,Minnesota ,1,2,2,5,5o04,5u20
1026,68,H,Chicago ,0,1,2,3,-183,-180
1026,69,V,St. Louis ,1,2,3,6,-120,-130
1026,70,H,Nashville ,0,0,1,1,5.5u31,5o25
1026,71,V,Washington ,1,1,0,2,-125,-130
1026,72,H,Calgary ,3,0,2,5,5.5o19,5.5o20
1027,1,V,San Jose ,3,0,2,5,5.5u20,5.5u45
1027,2,H,Ottawa ,1,1,0,2,-115,-125
1027,3,V,Tampa Bay ,2,1,0,4,-104,5.5o20
1027,4,H,Florida ,1,0,2,3,5.5o05,-109
1027,5,V,Anaheim ,0,2,2,4,5o07,5o25
1027,6,H,Columbus ,1,1,1,3,-110,-125
1027,7,V,Winnipeg ,1,1,0,2,5.5u15,5.5u30
1027,8,H,Colorado ,1,0,2,3,-193,-230
1027,9,V,Edmonton ,0,1,0,1,5.5u27,5.5u30
1027,10,H,Los Angeles ,0,1,0,2,-210,-250
1028,51,V,Dallas ,3,1,0,4,-125,-140
1028,52,H,Buffalo ,1,2,0,3,5.5u30,5o30
1028,53,V,Pittsburgh ,1,1,1,3,-140,-190
1028,54,H,Carolina ,1,0,0,1,5.5u15,5.5o25
1028,55,V,Montreal ,0,1,1,2,-111,5o33
1028,56,H,NY Rangers ,0,0,0,0,5u10,-121
1028,57,V,Chicago ,1,2,2,5,-110,-130
1028,58,H,Minnesota ,0,1,0,1,5u10,5u15
1028,59,V,Washington ,1,0,1,2,5.5o05,5.5u20
1028,60,H,Vancouver ,1,0,2,3,-145,-160
1029,1,V,NY Rangers ,1,0,2,3,5.5u15,5o45
1029,2,H,NY Islanders ,0,2,0,2,-150,-160
1029,3,V,Anaheim ,0,1,2,3,-116,-113
1029,4,H,Philadelphia ,2,0,0,2,5.5u20,5.5u40
1029,5,V,Dallas ,0,1,0,1,5o09,5.5u40
1029,6,H,Montreal ,1,1,0,2,-160,-145
1029,7,V,Tampa Bay ,0,1,0,1,5.5u31,5.5u40
1029,8,H,New Jersey ,0,2,0,2,-114,100
1029,9,V,Ottawa ,1,3,1,5,5o30,5.5u35
1029,10,H,Chicago ,1,2,3,6,-165,-145
1029,11,V,Winnipeg ,1,0,1,2,5.5u20,5.5u30
1029,12,H,St. Louis ,1,0,2,3,-193,-210
1029,13,V,Toronto ,1,2,1,4,5.5o30,-124
1029,14,H,Edmonton ,0,0,0,0,-108,5.5o25
1029,15,V,Los Angeles ,0,0,1,1,5o23,5o45
1029,16,H,Phoenix ,0,2,1,3,-120,-110
1030,51,V,Boston ,0,0,2,2,5.5u30,5o45
1030,52,H,Pittsburgh ,0,1,2,3,-140,-127
1030,53,V,Toronto ,2,0,2,4,-125,-105
1030,54,H,Calgary ,0,1,1,2,5.5,5.5o25
1030,55,V,Detroit ,0,2,0,2,5.5u20,5o20
1030,56,H,Vancouver ,1,0,0,1,-140,-150
1030,57,V,San Jose ,2,1,0,3,-115,-140
1030,58,H,Los Angeles ,1,1,1,4,5o25,5
1031,1,V,Anaheim ,1,1,0,2,5o35,5o30
1031,2,H,Boston ,0,1,1,3,-135,-145
1031,3,V,Buffalo ,0,0,0,0,5o15,5u35
1031,4,H,NY Rangers ,1,1,0,2,-190,-190
1031,5,V,Nashville ,3,0,1,4,5o30,5.5u35
1031,6,H,Phoenix ,0,2,2,5,-155,-147
1101,51,V,Washington ,1,5,1,7,5o35,5o45
1101,52,H,Philadelphia ,0,0,0,0,-130,-150
1101,53,V,Columbus ,0,1,1,2,5.5u20,5.5u30
1101,54,H,Pittsburgh ,1,3,0,4,-190,-195
1101,55,V,Tampa Bay ,0,1,2,3,-120,-126
1101,56,H,Carolina ,0,0,0,0,5.5o15,5.5o20
1101,57,V,NY Islanders ,0,3,1,5,5.5u15,5.5o35
1101,58,H,Ottawa ,2,2,0,4,-140,-155
1101,59,V,St. Louis ,1,3,0,4,-190,-195
1101,60,H,Florida ,0,0,0,0,5.5u40,5.5u20
1101,61,V,Montreal ,1,0,2,3,5u25,5u20
1101,62,H,Minnesota ,1,1,2,4,-130,-134
1101,63,V,Colorado ,1,1,0,3,-125,5o45
1101,64,H,Dallas ,0,0,2,2,5.5u30,-109
1101,65,V,Detroit ,2,0,2,4,-135,-128
1101,66,H,Calgary ,0,2,1,3,5.5u20,5.5u25
1102,1,V,Chicago ,1,3,1,5,-130,-170
1102,2,H,Winnipeg ,1,0,0,1,5.5u09,5.5u20
1102,3,V,St. Louis ,1,1,0,2,-123,-120
1102,4,H,Tampa Bay ,1,1,2,4,5.5u09,5.5u15
1102,5,V,Anaheim ,0,3,3,6,-173,-175
1102,6,H,Buffalo ,0,1,2,3,5o25,5o30
1102,7,V,Philadelphia ,1,0,0,1,5o04,5o15
1102,8,H,New Jersey ,0,0,0,0,-129,-150
1102,9,V,Boston ,0,1,0,1,-140,-121
1102,10,H,NY Islanders ,0,3,0,3,5.5u25,5.5u20
1102,11,V,Carolina ,0,1,0,1,5o25,5o15
1102,12,H,NY Rangers ,1,2,2,5,-180,-185
1102,13,V,Florida ,0,1,1,2,5o35,5.5u15
1102,14,H,Washington ,1,1,0,3,-174,-170
1102,15,V,Pittsburgh ,0,1,2,3,-120,-120
1102,16,H,Columbus ,0,0,0,0,5.5u25,5.5
1102,17,V,Toronto ,0,0,0,0,5.5u20,5.5u26
1102,18,H,Vancouver ,1,2,1,4,-130,-161
1102,19,V,Montreal ,0,0,1,1,5o15,5.5u20
1102,20,H,Colorado ,0,1,3,4,-150,-150
1102,21,V,Detroit ,2,1,2,5,5.5u20,-109
1102,22,H,Edmonton ,0,0,0,0,-113,5.5u25
1102,23,V,Phoenix ,1,1,0,3,5.5,5.5u35
1102,24,H,San Jose ,0,2,0,2,-200,-180
1102,25,V,Nashville ,2,1,1,4,5o15,5u15
1102,26,H,Los Angeles ,1,0,2,3,-180,-180
1103,51,V,Dallas ,1,1,1,4,5.5u15,5.5u20
1103,52,H,Ottawa ,0,2,1,3,-142,-150
1103,53,V,Calgary ,0,1,1,3,5.5o04,5.5o30
1103,54,H,Chicago ,0,1,1,2,-226,-250
1103,55,V,New Jersey ,0,0,0,0,5u25,5u45
1103,56,H,Minnesota ,1,1,2,4,-168,-200
1104,1,V,Anaheim ,2,0,0,2,5o30,5o15
1104,2,H,NY Rangers ,0,1,0,1,-115,-126
1104,3,V,Detroit ,0,2,0,2,-120,-156
1104,4,H,Winnipeg ,1,1,2,4,5.5u30,5o35
1105,51,V,Dallas ,1,0,1,3,5o25,5o20
1105,52,H,Boston ,1,0,1,2,-180,-185
1105,53,V,NY Islanders ,1,1,0,2,5.5o25,5.5o28
1105,54,H,Washington ,0,5,1,6,-135,-126
1105,55,V,Ottawa ,2,0,2,4,5.5u15,5.5o20
1105,56,H,Columbus ,0,0,1,1,-123,-120
1105,57,V,St. Louis ,1,0,1,3,5o35,-116
1105,58,H,Montreal ,0,2,0,2,-110,5o25
1105,59,V,Edmonton ,1,2,0,4,5.5o15,5.5u15
1105,60,H,Florida ,1,0,2,3,-130,-130
1105,61,V,Philadelphia ,0,0,1,1,-110,-113
1105,62,H,Carolina ,0,0,1,2,5o25,5.5u35
1105,63,V,Calgary ,1,0,0,1,5.5u25,5.5u40
1105,64,H,Minnesota ,1,1,3,5,-170,-195
1105,65,V,Vancouver ,0,2,0,2,5.5u20,5.5u40
1105,66,H,Phoenix ,1,1,0,3,-140,-115
1105,67,V,Buffalo ,0,2,2,5,5.5u35,5.5u55
1105,68,H,San Jose ,1,0,3,4,-300,-430
1106,1,V,Pittsburgh ,0,1,0,1,-137,-131
1106,2,H,NY Rangers ,2,2,1,5,5o25,5o30
1106,3,V,Winnipeg ,0,0,1,1,5.5u14,5.5
1106,4,H,Chicago ,2,1,1,4,-253,-270
1106,5,V,Nashville ,2,2,2,6,5o37,5o35
1106,6,H,Colorado ,1,2,1,4,-204,-185
1106,7,V,Phoenix ,1,1,0,2,5.5u15,5.5u35
1106,8,H,Anaheim ,1,2,2,5,-149,-153
1107,51,V,Florida ,0,0,1,1,5o25,5o35
1107,52,H,Boston ,0,1,3,4,-260,-260
1107,53,V,Montreal ,1,0,0,1,5.5u35,-110
1107,54,H,Ottawa ,1,2,1,4,-120,5.5u35
1107,55,V,New Jersey ,1,0,2,3,5u20,5u15
1107,56,H,Philadelphia ,0,0,0,0,-148,-130
1107,57,V,Minnesota ,1,1,0,2,5.5u30,-107
1107,58,H,Washington ,1,0,1,3,-115,5.5u45
1107,59,V,NY Islanders ,0,0,0,0,5.5o15,-105
1107,60,H,Carolina ,1,0,0,1,-115,5.5u15
1107,61,V,NY Rangers ,1,2,1,4,5o04,5
